title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,30，白色,18.76,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796813,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,18.76,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,32，白色,20.57,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796814,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,20.57,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,34，白色,21.02,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796815,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,21.02,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,36，白色,21.47,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796816,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,21.47,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,38，白色,22.83,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796817,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,22.83,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,40，白色,18.71,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796818,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,18.71,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,42，白色,25.09,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796819,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,25.09,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,44，白色,18.17,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796820,https://detail.1688.com/offer/535624912500.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,20260519,3417851205,18.17,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,46，白色,27.35,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796821,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,27.35,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,48，白色,28.25,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796822,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,28.25,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,50，白色,29.15,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796823,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,29.15,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,52，白色,30.06,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796824,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,30.06,,13,Shirts
Nomjit SS01 Aircool 型号，男童校服衬衫，小学和中学级别（仅衬衫）。,54，白人,31.31,https://cf.shopee.co.th/file/th-11134207-7r991-lugely3gszthaf,http://shopee.co.th/product/60839772/3417851205,Men Clothes,Tops,IVCN2026051918905,227575796825,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,3417851205,31.31,,13,Shirts
Nomjit S01 男童校服衬衫（小学、初中、高中）- 邦卡皮分店,32，白色,16.95,https://cf.shopee.co.th/file/th-11134207-81ztf-meh20ymrxfk62c,http://shopee.co.th/product/60839772/6269496177,Men Clothes,Tops,IVCN2026051918907,168720122217,https://detail.1688.com/offer/1036729450288.html?spm=a26352.b28411319/2508.0.0,,20260526,6269496177,16.95,,10,Shirts
